Title,Description,RDataPath,BiocVersion,SourceType,SourceUrl,SourceVersion,Species,DataProvider,Maintainer,RDataClass,DispatchClass
SE_Amundson_2019_vivo_GSE124612_GPL11202 expression dataset,Processed expression data from GEO series GSE124612 related to gamma ray exposure.,DoReMiTra/SE/SE_Amundson_2019_vivo_GSE124612_GPL11202.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124612,,Mus musculus,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Aryankalayil_2018_vivo_GSE104121_GPL10787 expression dataset,Processed expression data from GEO series GSE104121 related to gamma rays exposure.,DoReMiTra/SE/SE_Aryankalayil_2018_vivo_GSE104121_GPL10787.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104121,,Mus musculus,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Aryankalayil_2018_vivo_GSE104121_GPL21163 expression dataset,Processed expression data from GEO series GSE104121 related to gamma rays exposure.,DoReMiTra/SE/SE_Aryankalayil_2018_vivo_GSE104121_GPL21163.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104121,,Mus musculus,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Park_2017_vitro_GSE102971_GPL10332 expression dataset,Processed expression data from GEO series GSE102971 related to gamma ray exposure.,DoReMiTra/SE/SE_Park_2017_vitro_GSE102971_GPL10332.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102971,,Homo sapiens; Macaca mulatta,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Vasilyev_2017_vitro_GSE97000_GPL17077 expression dataset,Processed expression data from GEO series GSE97000 related to gamma ray exposure.,DoReMiTra/SE/SE_Vasilyev_2017_vitro_GSE97000_GPL17077.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97000,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Paul_2013_vitro_GSE44201_GPL6480 expression dataset,Processed expression data from GEO series GSE44201 related to gamma ray exposure.,DoReMiTra/SE/SE_Paul_2013_vitro_GSE44201_GPL6480.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44201,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Paul_2013_vitro_GSE44201_GPL6848 expression dataset,Processed expression data from GEO series GSE44201 related to gamma ray exposure.,DoReMiTra/SE/SE_Paul_2013_vitro_GSE44201_GPL6848.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44201,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_NOSEL_2013_vitro_GSE43151_GPL13497 expression dataset,Processed expression data from GEO series GSE43151 related to gamma ray exposure.,DoReMiTra/SE/SE_NOSEL_2013_vitro_GSE43151_GPL13497.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43151,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Girardi_2012_vitro_GSE20173_GPL6480 expression dataset,Processed expression data from GEO series GSE20173 related to gamma ray exposure.,DoReMiTra/SE/SE_Girardi_2012_vitro_GSE20173_GPL6480.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20173,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Amundson_2011_vitro_GSE23515_GPL6480 expression dataset,Processed expression data from GEO series GSE23515 related to gamma ray exposure.,DoReMiTra/SE/SE_Amundson_2011_vitro_GSE23515_GPL6480.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23515,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_GRUEL_2008_vitro_GSE6978_GPL4803 expression dataset,Processed expression data from GEO series GSE6978 related to gamma ray exposure.,DoReMiTra/SE/SE_GRUEL_2008_vitro_GSE6978_GPL4803.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6978,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Rouchka_2019_vitro_GSE63952_GPL15207 expression dataset,Processed expression data from GEO series GSE63952 related to gamma ray exposure.,DoReMiTra/SE/SE_Rouchka_2019_vitro_GSE63952_GPL15207.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63952,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Amundson_2008_vitro_GSE8917_GPL1708 expression dataset,Processed expression data from GEO series GSE8917 related to gamma ray exposure.,DoReMiTra/SE/SE_Amundson_2008_vitro_GSE8917_GPL1708.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE8917,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_MANIKANDAN_2014_vitro_GSE36355_GPL6883 expression dataset,Processed expression data from GEO series GSE36355 related to gamma ray exposure.,DoReMiTra/SE/SE_MANIKANDAN_2014_vitro_GSE36355_GPL6883.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36355,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
SE_Lee_2013_vitro_GSE44245_GPL570 expression dataset,Processed expression data from GEO series GSE44245 related to gamma ray exposure.,DoReMiTra/SE/SE_Lee_2013_vitro_GSE44245_GPL570.RDS,3.21,GEO,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44245,,Homo sapiens,GEO,Ahmed Hassan <ahhassan@uni-mainz.de>,SummarizedExperiment,RDS
