"Title","Description","RDataPath","BiocVersion","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Genome","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Radiation_type","Exp_setting","Organism","Accession","Location_Prefix"
"SE_Amundson_2019_InVivo_GSE124612_GPL11202","Processed expression data from GEO series GSE124612 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Amundson_2019_InVivo_GSE124612_GPL11202.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124612","","Mus musculus","10090",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","InVivo","Mus musculus","GSE124612","https://zenodo.org/"
"SE_Aryankalayil_2018_InVivo_GSE104121_GPL10787","Processed expression data from GEO series GSE104121 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Aryankalayil_2018_InVivo_GSE104121_GPL10787.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104121","","Mus musculus","10090",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","InVivo","Mus musculus","GSE104121","https://zenodo.org/"
"SE_Aryankalayil_2018_InVivo_GSE104121_GPL21163","Processed expression data from GEO series GSE104121 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Aryankalayil_2018_InVivo_GSE104121_GPL21163.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104121","","Mus musculus","10090",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","InVivo","Mus musculus","GSE104121","https://zenodo.org/"
"SE_Park_2017_ExVivo_GSE102971_GPL10332_MacacaMulatta","Processed expression data from GEO series GSE102971 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Park_2017_ExVivo_GSE102971_GPL10332_MacacaMulatta.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102971","","Macaca mulatta","9544",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","ExVivo","Macaca mulatta","GSE102971","https://zenodo.org/"
"SE_Park_2017_ExVivo_GSE102971_GPL10332_HomoSapiens","Processed expression data from GEO series GSE102971 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Park_2017_ExVivo_GSE102971_GPL10332_HomoSapiens.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102971","","Homo sapiens","9606",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","ExVivo","Homo sapiens","GSE102971","https://zenodo.org/"
"SE_Vasilyev_2017_ExVivo_GSE97000_GPL17077","Processed expression data from GEO series GSE97000 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Vasilyev_2017_ExVivo_GSE97000_GPL17077.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97000","","Homo sapiens","9606",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","ExVivo","Homo sapiens","GSE97000","https://zenodo.org/"
"SE_Paul_2013_ExVivo_GSE44201_GPL6480","Processed expression data from GEO series GSE44201 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Paul_2013_ExVivo_GSE44201_GPL6480.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44201","","Homo sapiens","9606",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","ExVivo","Homo sapiens","GSE44201","https://zenodo.org/"
"SE_Paul_2013_ExVivo_GSE44201_GPL6848","Processed expression data from GEO series GSE44201 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Paul_2013_ExVivo_GSE44201_GPL6848.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44201","","Homo sapiens","9606",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","ExVivo","Homo sapiens","GSE44201","https://zenodo.org/"
"SE_Nosel_2013_ExVivo_GSE43151_GPL13497","Processed expression data from GEO series GSE43151 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Nosel_2013_ExVivo_GSE43151_GPL13497.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43151","","Homo sapiens","9606",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","ExVivo","Homo sapiens","GSE43151","https://zenodo.org/"
"SE_Girardi_2012_ExVivo_GSE20173_GPL6480","Processed expression data from GEO series GSE20173 related to gamma ray exposure.","https://zenodo.org/records/15830247/files/SE_Girardi_2012_ExVivo_GSE20173_GPL6480.RDS?download=1","3.21","GSEMatrix","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20173","","Homo sapiens","9606",NA,TRUE,"GEO","Ahmed Salah <ahhassan@uni-mainz.de>","SummarizedExperiment","RDS","gamma ray","ExVivo","Homo sapiens","GSE20173","https://zenodo.org/"
